,participant_id,experiment_nr,step_count,gt_step_time,us_step_time,gt_cycle_time,us_cycle_time,gt_cadence,us_cadence,gt_ambulation_time,us_ambulation_time,gt_velocity,us_velocity,gt_step_length,us_step_length,uuid_name,age
105,p28,1,8,670.0,678.0,1350.0,1351.6666666666667,89.7,88.42105263157896,4680.0,4750.0,90.1,88.68715789473684,60.36,61.194138947368415,p28,38.0
106,p28,2,8,480.0,485.0,955.0,968.3333333333334,125.4,123.5294117647059,3350.0,3400.0,127.0,123.90117647058824,60.81,60.71157647058824,p28,38.0
107,p28,3,8,670.0,670.0,1350.0,1350.0,89.7,89.55223880597015,4680.0,4690.0,89.3,89.82174840085287,59.6,60.18057142857143,p28,38.0
108,p18,0,8,655.0,660.0,1310.0,1343.3333333333333,91.7,90.9090909090909,4580.0,4620.0,87.6,91.18268398268398,57.32,61.09239826839827,p18,26.0
109,p18,1,8,650.0,652.0,1300.0,1296.6666666666667,92.1,91.90371991247264,4560.0,4570.0,92.2,92.18030634573304,60.065,60.83900218818381,p18,26.0
110,p18,2,8,495.0,495.0,985.0,988.3333333333334,121.0,121.03746397694523,3470.0,3470.0,121.9,121.40172910662824,60.46,58.27282997118155,p18,26.0
111,p18,3,8,650.0,627.0,1295.0,1251.6666666666667,92.3,95.67198177676538,4550.0,4390.0,93.5,95.95990888382688,60.745000000000005,60.45474259681094,p18,26.0
112,p47,0,8,610.0,607.0,1215.0,1211.6666666666667,98.4,98.82352941176472,4270.0,4250.0,100.2,99.1209411764706,61.09,60.46377411764706,p47,29.0
113,p47,1,8,635.0,634.0,1260.0,1261.6666666666667,94.8,94.59459459459458,4430.0,4440.0,97.6,94.87927927927927,61.955,61.67153153153153,p47,29.0
114,p47,2,8,490.0,480.0,970.0,951.6666666666666,122.8,125.0,3420.0,3360.0,124.4,125.37619047619047,61.235,58.92680952380952,p47,29.0
115,p47,3,8,645.0,651.0,1285.0,1291.6666666666667,92.5,92.10526315789474,4540.0,4560.0,93.1,92.38245614035088,60.29,60.04859649122807,p47,29.0
116,p24,0,7,535.0,523.0,1070.0,1044.0,111.5,114.64968152866244,3230.0,3140.0,129.6,134.16050955414013,69.745,69.76346496815287,p24,32.0
117,p24,1,8,665.0,661.0,1330.0,1330.0,90.7,90.71274298056156,4630.0,4630.0,90.8,90.98574514038876,60.05500000000001,60.96044924406048,p24,32.0
118,p24,2,8,495.0,501.0,990.0,998.3333333333334,121.7,119.65811965811966,3450.0,3510.0,123.0,120.0182336182336,60.585,60.0091168091168,p24,32.0
119,p24,3,8,660.0,660.0,1325.0,1321.6666666666667,90.7,90.9090909090909,4630.0,4620.0,91.6,91.18268398268398,60.635000000000005,60.18057142857143,p24,32.0
120,p49,0,8,580.0,577.0,1155.0,1146.6666666666667,104.2,103.96039603960396,4030.0,4040.0,106.4,104.27326732673268,61.7,60.47849504950495,p49,30.0
121,p49,1,8,590.0,592.0,1185.0,1183.3333333333333,101.0,101.20481927710844,4160.0,4150.0,102.2,101.50939759036144,60.225,60.905638554216864,p49,30.0
122,p49,2,8,485.0,485.0,970.0,963.3333333333334,123.5,123.5294117647059,3400.0,3400.0,126.4,123.90117647058824,60.875,60.71157647058824,p49,30.0
123,p49,3,8,650.0,644.0,1210.0,1251.6666666666667,101.9,93.12638580931264,4710.0,4510.0,98.4,93.40665188470066,57.945,58.84619068736142,p49,30.0
124,p17,0,8,585.0,590.0,1175.0,1171.6666666666667,102.2,101.69491525423727,4110.0,4130.0,99.7,102.00096852300244,63.39,60.18057142857143,p17,22.0
125,p17,1,9,650.0,648.0,1300.0,1300.0,92.3,92.48554913294798,5200.0,5190.0,81.3,81.1684007707129,52.83,52.75946050096339,p17,22.0
126,p17,2,8,495.0,495.0,990.0,1001.6666666666666,120.7,121.03746397694523,3480.0,3470.0,121.2,121.40172910662824,60.745,60.70086455331412,p17,22.0
127,p17,3,8,650.0,645.0,1290.0,1290.0,92.7,92.92035398230088,4530.0,4520.0,91.7,93.2,59.405,60.57999999999999,p17,22.0
128,p11,0,9,595.0,593.0,1185.0,1187.142857142857,101.3,101.05263157894736,4740.0,4750.0,90.2,88.68715789473684,53.44,52.768858947368415,p11,29.0
129,p11,1,8,645.0,627.0,1290.0,1291.6666666666667,93.1,95.67198177676538,4510.0,4390.0,93.8,95.95990888382688,60.28,62.37394077448748,p11,29.0
130,p11,2,8,495.0,495.0,1000.0,996.6666666666666,120.0,121.03746397694523,3500.0,3470.0,121.1,121.40172910662824,60.345,59.48684726224784,p11,29.0
131,p11,3,8,660.0,662.0,1330.0,1330.0,90.7,90.51724137931036,4630.0,4640.0,91.6,90.7896551724138,60.715,60.82906896551725,p11,29.0
132,p56,0,9,540.0,556.0,1080.0,1097.142857142857,111.1,107.86516853932584,4320.0,4450.0,101.1,94.66606741573034,54.615,50.173015730337085,p56,28.0
133,p56,1,8,665.0,664.0,1340.0,1336.6666666666667,90.3,90.3225806451613,4650.0,4650.0,89.8,90.59440860215054,59.375,61.604197849462366,p56,28.0
134,p56,2,8,495.0,502.0,990.0,1001.6666666666666,121.7,119.3181818181818,3450.0,3520.0,121.5,119.67727272727274,59.795,61.0354090909091,p56,28.0
135,p56,3,8,660.0,661.0,1330.0,1335.0,91.3,90.71274298056156,4600.0,4630.0,91.4,90.98574514038876,60.14,60.96044924406048,p56,28.0
136,p38,0,8,595.0,594.0,1190.0,1186.6666666666667,100.4,100.96760622633572,4780.0,4754.0,89.3,88.61253681110644,53.34,52.2813967185528,p38,27.0
137,p38,1,8,635.0,637.0,1275.0,1276.6666666666667,94.6,94.17040358744394,4440.0,4460.0,94.7,94.45381165919282,59.95,61.39497757847533,p38,27.0
138,p38,2,8,570.0,557.0,1140.0,1111.6666666666667,105.3,107.6923076923077,3990.0,3900.0,105.7,108.01641025641028,60.17,60.48918974358976,p38,27.0
139,p38,3,8,635.0,645.0,1325.0,1303.3333333333333,90.5,92.92035398230088,4640.0,4520.0,91.4,93.2,60.625,59.648,p38,27.0
140,p60,0,8,555.0,551.0,1110.0,1098.3333333333333,108.0,108.80829015544042,3890.0,3860.0,112.6,109.1357512953368,62.78,58.93330569948187,p60,28.0
141,p60,1,8,650.0,651.0,1305.0,1301.6666666666667,92.3,92.10526315789474,4550.0,4560.0,92.4,92.38245614035088,59.78,60.04859649122807,p60,28.0
142,p60,2,8,600.0,600.0,1195.0,1196.6666666666667,100.0,100.0,4200.0,4200.0,100.9,100.30095238095238,60.42,57.17154285714285,p60,28.0
